Category: All categories

Week,hololive: (United States)
2017-02-26,0
2017-03-05,0
2017-03-12,0
2017-03-19,0
2017-03-26,0
2017-04-02,0
2017-04-09,0
2017-04-16,0
2017-04-23,0
2017-04-30,0
2017-05-07,0
2017-05-14,0
2017-05-21,0
2017-05-28,0
2017-06-04,0
2017-06-11,0
2017-06-18,0
2017-06-25,0
2017-07-02,0
2017-07-09,0
2017-07-16,0
2017-07-23,0
2017-07-30,0
2017-08-06,0
2017-08-13,0
2017-08-20,<1
2017-08-27,0
2017-09-03,0
2017-09-10,0
2017-09-17,<1
2017-09-24,0
2017-10-01,0
2017-10-08,0
2017-10-15,0
2017-10-22,0
2017-10-29,0
2017-11-05,0
2017-11-12,0
2017-11-19,0
2017-11-26,0
2017-12-03,0
2017-12-10,0
2017-12-17,0
2017-12-24,0
2017-12-31,0
2018-01-07,0
2018-01-14,0
2018-01-21,0
2018-01-28,0
2018-02-04,0
2018-02-11,0
2018-02-18,0
2018-02-25,0
2018-03-04,0
2018-03-11,0
2018-03-18,0
2018-03-25,0
2018-04-01,0
2018-04-08,0
2018-04-15,<1
2018-04-22,0
2018-04-29,0
2018-05-06,0
2018-05-13,0
2018-05-20,0
2018-05-27,0
2018-06-03,0
2018-06-10,0
2018-06-17,0
2018-06-24,0
2018-07-01,0
2018-07-08,0
2018-07-15,0
2018-07-22,0
2018-07-29,0
2018-08-05,0
2018-08-12,0
2018-08-19,0
2018-08-26,0
2018-09-02,0
2018-09-09,0
2018-09-16,0
2018-09-23,0
2018-09-30,0
2018-10-07,0
2018-10-14,0
2018-10-21,<1
2018-10-28,<1
2018-11-04,0
2018-11-11,0
2018-11-18,<1
2018-11-25,<1
2018-12-02,0
2018-12-09,0
2018-12-16,<1
2018-12-23,<1
2018-12-30,<1
2019-01-06,0
2019-01-13,<1
2019-01-20,0
2019-01-27,<1
2019-02-03,<1
2019-02-10,<1
2019-02-17,<1
2019-02-24,0
2019-03-03,0
2019-03-10,<1
2019-03-17,<1
2019-03-24,0
2019-03-31,<1
2019-04-07,<1
2019-04-14,<1
2019-04-21,<1
2019-04-28,<1
2019-05-05,0
2019-05-12,<1
2019-05-19,0
2019-05-26,0
2019-06-02,1
2019-06-09,<1
2019-06-16,1
2019-06-23,1
2019-06-30,0
2019-07-07,<1
2019-07-14,0
2019-07-21,<1
2019-07-28,1
2019-08-04,<1
2019-08-11,0
2019-08-18,0
2019-08-25,0
2019-09-01,0
2019-09-08,0
2019-09-15,0
2019-09-22,0
2019-09-29,0
2019-10-06,<1
2019-10-13,<1
2019-10-20,<1
2019-10-27,0
2019-11-03,0
2019-11-10,0
2019-11-17,0
2019-11-24,3
2019-12-01,1
2019-12-08,2
2019-12-15,<1
2019-12-22,2
2019-12-29,2
2020-01-05,4
2020-01-12,3
2020-01-19,5
2020-01-26,5
2020-02-02,5
2020-02-09,2
2020-02-16,4
2020-02-23,5
2020-03-01,6
2020-03-08,4
2020-03-15,4
2020-03-22,9
2020-03-29,4
2020-04-05,6
2020-04-12,9
2020-04-19,14
2020-04-26,12
2020-05-03,8
2020-05-10,11
2020-05-17,7
2020-05-24,9
2020-05-31,10
2020-06-07,11
2020-06-14,10
2020-06-21,14
2020-06-28,14
2020-07-05,15
2020-07-12,19
2020-07-19,19
2020-07-26,23
2020-08-02,18
2020-08-09,25
2020-08-16,29
2020-08-23,34
2020-08-30,32
2020-09-06,42
2020-09-13,62
2020-09-20,59
2020-09-27,59
2020-10-04,50
2020-10-11,60
2020-10-18,65
2020-10-25,61
2020-11-01,60
2020-11-08,57
2020-11-15,63
2020-11-22,59
2020-11-29,66
2020-12-06,62
2020-12-13,60
2020-12-20,59
2020-12-27,63
2021-01-03,61
2021-01-10,65
2021-01-17,65
2021-01-24,63
2021-01-31,64
2021-02-07,60
2021-02-14,71
2021-02-21,66
2021-02-28,68
2021-03-07,67
2021-03-14,68
2021-03-21,70
2021-03-28,66
2021-04-04,65
2021-04-11,69
2021-04-18,63
2021-04-25,61
2021-05-02,73
2021-05-09,70
2021-05-16,78
2021-05-23,67
2021-05-30,64
2021-06-06,73
2021-06-13,74
2021-06-20,75
2021-06-27,76
2021-07-04,82
2021-07-11,87
2021-07-18,70
2021-07-25,71
2021-08-01,68
2021-08-08,66
2021-08-15,75
2021-08-22,100
2021-08-29,69
2021-09-05,77
2021-09-12,81
2021-09-19,69
2021-09-26,71
2021-10-03,79
2021-10-10,72
2021-10-17,73
2021-10-24,70
2021-10-31,83
2021-11-07,66
2021-11-14,71
2021-11-21,67
2021-11-28,83
2021-12-05,68
2021-12-12,69
2021-12-19,64
2021-12-26,74
2022-01-02,90
2022-01-09,85
2022-01-16,66
2022-01-23,63
2022-01-30,68
2022-02-06,68
2022-02-13,58
